INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,CODE,SORT
,,,,,,,,0,"000000000000","000000000000-0000","0001",5
,,,,,,,,0,"000000000000","000000000000-0000","0002",6
,,,,,,,,0,"000000000000","000000000000-0000","0003",9
,,,,,,,,0,"000000000000","000000000000-0000","0004",12
,,,,,,,,0,"000000000000","000000000000-0000","0005",13
,,,,,,,,0,"000000000000","000000000000-0000","0006",14
,,,,,,,,0,"000000000000","000000000000-0000","0007",24
,,,,,,,,0,"000000000000","000000000000-0000","0008",25
,,,,,,,,0,"000000000000","000000000000-0000","0009",4
,,,,,,,,0,"000000000000","000000000000-0000","0010",16
,,,,,,,,0,"000000000000","000000000000-0000","0011",17
,,,,,,,,0,"000000000000","000000000000-0000","0012",18
,,,,,,,,0,"000000000000","000000000000-0000","0013",19
,,,,,,,,0,"000000000000","000000000000-0000","0014",20
,,,,,,,,0,"000000000000","000000000000-0000","0015",10
,,,,,,,,0,"000000000000","000000000000-0000","0016",11
,,,,,,,,0,"000000000000","000000000000-0000","0017",21
,,,,,,,,0,"000000000000","000000000000-0000","0018",22
,,,,,,,,0,"000000000000","000000000000-0000","0019",23
,,,,,,,,0,"000000000000","000000000000-0000","0020",1
,,,,,,,,0,"000000000000","000000000000-0000","0021",2
,,,,,,,,0,"000000000000","000000000000-0000","0022",3
,,,,,,,,0,"000000000000","000000000000-0000","0023",13
,,,,,,,,0,"000000000000","000000000000-0000","0024",26
,,,,,,,,0,"000000000000","000000000000-0000","0025",7
,,,,,,,,0,"000000000000","000000000000-0000","0026",8
